5.7	   3.995142e+00  -1.004858e+00   3.977021e+00  -1.022979e+00   4.012430e+00  -9.875695e-01   3.994616e+00  -1.005384e+00   4.000344e+00  -9.996558e-01
5.8	   4.012280e+00  -9.877198e-01   3.965546e+00  -1.034454e+00   4.017190e+00  -9.828104e-01   3.994591e+00  -1.005409e+00   3.999822e+00  -1.000178e+00
5.9	   4.028571e+00  -9.714287e-01   3.956428e+00  -1.043572e+00   4.021345e+00  -9.786548e-01   3.994902e+00  -1.005098e+00   3.999274e+00  -1.000726e+00
6	   4.042741e+00  -9.572586e-01   3.950441e+00  -1.049559e+00   4.024440e+00  -9.755601e-01   3.995582e+00  -1.004418e+00   3.998722e+00  -1.001278e+00
6.1	   4.053632e+00  -9.463681e-01   3.948156e+00  -1.051844e+00   4.026028e+00  -9.739720e-01   3.996646e+00  -1.003354e+00   3.998192e+00  -1.001808e+00
6.2	   4.060185e+00  -9.398149e-01   3.949880e+00  -1.050120e+00   4.025730e+00  -9.742704e-01   3.998091e+00  -1.001909e+00   3.997711e+00  -1.002289e+00
6.3	   4.061527e+00  -9.384726e-01   3.955648e+00  -1.044352e+00   4.023287e+00  -9.767128e-01   3.999885e+00  -1.000115e+00   3.997311e+00  -1.002689e+00
6.4	   4.057353e+00  -9.426466e-01   3.965195e+00  -1.034805e+00   4.018646e+00  -9.813543e-01   4.001973e+00  -9.980274e-01   3.997020e+00  -1.002980e+00
6.5	   4.048216e+00  -9.517836e-01   3.977946e+00  -1.022054e+00   4.011972e+00  -9.880279e-01   4.004267e+00  -9.957334e-01   3.996868e+00  -1.003132e+00
6.6	   4.035196e+00  -9.648044e-01   3.993064e+00  -1.006936e+00   4.003664e+00  -9.963364e-01   4.006652e+00  -9.933476e-01   3.996882e+00  -1.003118e+00
6.7	   4.019592e+00  -9.804077e-01   4.009465e+00  -9.905345e-01   3.994322e+00  -1.005678e+00   4.008988e+00  -9.910116e-01   3.997081e+00  -1.002919e+00
6.8	   4.002759e+00  -9.972413e-01   4.025820e+00  -9.741803e-01   3.984691e+00  -1.015309e+00   4.011111e+00  -9.888887e-01   3.997482e+00  -1.002518e+00
6.9	   3.986091e+00  -1.013909e+00   4.040679e+00  -9.593212e-01   3.975597e+00  -1.024403e+00   4.012846e+00  -9.871542e-01   3.998090e+00  -1.001910e+00
